N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
346,7,7,8,19,7,7,7,7,8,8,12,9,5
347,7,53,7,8,9,13,8,8,9,8,8,8,12
348,7,7,8,7,8,8,8,8,9,8,8,8,5
349,147,48,8,7,8,8,8,8,9,8,8,8,5
350,7,25,7,7,8,7,7,7,8,7,7,7,5
351,7,7,7,8,8,8,7,7,8,8,7,7,5
352,7,10,7,7,8,7,9,7,8,8,7,9,9
353,7,7,12,9,8,7,7,13,8,8,7,7,5
354,7,7,7,7,13,7,8,7,8,7,7,62,5
355,7,7,7,7,8,7,8,8,10,20,79,8,12
356,7,7,7,7,8,7,7,7,9,8,7,7,5
357,7,7,9,7,8,7,7,7,8,8,7,7,5
358,8,8,8,8,8,8,8,18,36,10,8,8,6
359,7,10,10,8,7,7,7,7,8,8,7,7,5
360,7,7,7,7,8,7,7,8,8,7,8,7,6
361,7,7,7,7,8,7,7,7,18,8,8,7,5
362,10,8,7,28,8,7,7,7,8,7,7,7,5
363,7,7,7,7,8,7,7,7,8,8,7,7,5
364,7,7,7,7,8,7,7,8,8,8,7,7,5
365,7,7,8,22,7,7,7,8,8,8,7,53,5
366,8,8,7,7,8,7,8,7,8,8,7,37,5
367,8,8,8,7,9,8,8,8,9,8,8,8,5
368,8,8,8,42,14,21,8,8,9,8,8,8,5
369,8,8,8,8,8,8,8,13,9,9,8,8,5
370,8,8,11,8,17,8,8,24,9,21,8,8,5
371,7,7,9,7,7,7,7,7,9,10,9,7,5
372,7,11,7,7,7,7,7,7,15,8,7,7,5
373,7,7,7,7,8,7,8,13,8,8,9,7,5
374,8,7,7,7,7,7,8,8,9,7,8,8,5
375,8,7,7,7,9,8,8,11,8,8,7,23,5
376,7,8,7,7,8,7,7,7,8,8,8,8,5
377,7,8,7,8,8,7,7,7,8,9,7,7,6
378,7,7,8,7,8,8,7,7,9,8,7,9,5
379,8,8,8,8,12,8,8,8,9,8,8,8,5
380,13,8,8,8,8,8,8,8,9,8,74,115,10
381,9,10,9,8,9,8,8,8,9,8,9,8,5
382,7,7,7,8,13,7,7,7,8,8,7,8,9
383,7,7,7,7,8,8,8,7,8,8,8,7,5
384,7,7,7,7,8,8,7,8,9,11,8,7,16
385,9,8,7,7,8,8,7,7,8,8,8,8,5
386,7,8,8,7,8,8,8,7,10,8,8,46,5
387,7,7,13,7,8,7,8,8,47,55,9,7,5
388,7,7,8,7,8,8,8,7,8,8,7,7,5
389,7,7,7,7,8,8,8,13,8,9,8,7,40
390,8,8,8,8,9,8,8,8,9,11,8,8,11
391,7,8,8,7,8,7,7,8,8,8,8,8,5
392,8,7,7,8,26,7,8,7,10,8,8,8,5
